alang-alang	[n] ilalang, lalang
alangkah	[adv] betapa, bukan main, sungguh
alarm	[n] peluit, sirine, tanda bahaya
alas	[n] akar, asas, bantal, basis, cadar, dasar, fondasi, fundamen, galang, hamparan, landas, landasan, lapik, lapisan, lepek, lunas, pangkal, pendahuluan, permadani, pokok, prinsip, sandaran, sejadah, tangsel, tapak, teras, tikar, tumpuan, tunggak, tunjang;
alas kata	introduksi, kata pendahuluan, kata pengantar, mukadimah, pendahuluan, pengantar, prakata, prawacana, sekacip pinang, sekapur sirih;
alasan	[n] argumen, argumentasi, asas, bukti, dalih, dalil, dasar, kausa, keterangan, kilah, latar belakang, pasal, pertimbangan, sebab, tanda;
alat	[n] 1) gawai, instrumen, mesin, motor, perabot, perangkat, peranti, perkakas, perlengkapan, pesawat; \n\n2) cara, corong, fasilitas, jalan, kendaraan, media, sarana, syarat, wahana; \n\n3) aparat, juru bicara, petugas; \n\n4) indra;
alat kata	introduksi, kata pendahuluan, kata pengantar, mukadimah, pengantar, pengantar kata, prakata, prawacana, sekapur sirih;
alat kelamin	alat vital, aurat, genitalia, kemaluan;
alat pencernaan	lambung, perut;
alat pendengar	kuping, telinga;
alat penghidu	hidung;
alat penglihatan	ain, mata, netra;
alat peraba	indra peraba, jangat, kulit, selerang;
alat perasa	lidah, pengecap;
alat pernapasan	daun, insang, paru-paru, peparu;
alat potret	kamera, kodak ([cak]), pemotret, tustel;
alat tulis	kalam, pena, pensil, pulpen;
albino	[n] andan, balar, bulai, bule ([cak]), kulit putih [n] 1) rekaman; \n\n2) [ki] kenangan, memori, sejarah
alegori	[n] parabel; ibarat, kias, metafor, misal, pemisalan, perumpamaan, tamsil
alegoris	[a] asosiatif, figuratif, konotatif, metaforis, simbolis
alem	[v] [cak] 1) melantan, memanjakan, memberi hati, mengempenak; \n\n2) melambungkan, memuji, mengambung-ambung, mengangkat-angkat, menganjung-anjung, menghargai, menongkat ([ki]), menyanjung-nyanjung \n\n[ant] \n\n2) mencela
aleman	[a] [cak] beranja-anja, bermanja-manja, kolokan, manja
alfabet	[n] abc, abjad, aksara, alfabet, alif-bata, fonem, hiroglif, huruf, ideograf, kritogram, piktograf, tulisan
algojo	[n] legojo, pelebaya, pengeksekusi
alhasil	[p] akhirnya, akibatnya, hasilnya, kesudahannya, walhasil
aliansi	[n] 1) bon, federasi, gabungan, koalisi, konfederasi, liga, pakta, perhimpunan, persekutuan, perserikatan, uni; \n\n2) afiliasi, asosiasi, hubungan, koneksi, pertalian
alias	[cak] [n] nama lain, nama samaran, pedengan, pseudonim, nama lain, nama panggilan, sandi asma
alibi	[n] alasan, bukti, dalih, dalil, hujah, keterangan, saksi, tanda
alienasi	[n] kesendirian, keterasingan
alih	[v] anjak, ganti, geser, pindah, tukar, ubah;
alih aksara	alih huruf, transliterasi;
alih bahasa	[n] penerjemahan, sulih bahasa, terjemah;
alih bentuk	alterasi, konversi, metamorfosis, modifikasi, salin jirim, transfigurasi, transformasi, transmutasi;
